day,aircraft,helicopter,tank,apc,artillery,mrl,military_auto,fuel_tank,drone,ship,anti_aircraft
1,1,1,1,1,1,1,1,1,1,1,1
2,10,7,80,516,49,4,100,60,1,2,1
3,27,26,146,706,49,4,130,60,2,2,1
4,27,26,150,706,50,4,130,60,2,2,1
5,29,29,150,816,74,21,291,60,3,2,5
6,29,29,198,846,77,24,305,60,3,2,7
7,30,31,211,862,85,40,355,60,3,2,9
8,30,31,217,900,90,42,374,60,3,2,11
9,33,37,251,939,105,50,404,60,3,2,18
10,39,40,269,945,105,50,409,60,3,2,19
11,44,48,285,985,109,50,447,60,4,2,21
12,46,68,290,999,117,50,454,60,7,3,23
13,48,80,303,1036,120,56,474,60,7,3,27
14,49,81,317,1070,120,56,482,60,7,3,28
15,49,81,335,1105,123,56,526,60,7,3,29
16,57,83,353,1165,125,58,558,60,7,3,31
17,58,83,362,1205,135,62,585,60,7,3,33
18,74,86,374,1226,140,62,600,60,7,3,34
19,77,90,389,1249,150,64,617,60,8,3,34
20,81,95,404,1279,150,64,640,60,9,3,36
21,84,108,430,1375,190,70,819,60,11,3,43
22,86,108,444,1435,201,72,864,60,11,3,43
23,93,112,450,1448,205,72,879,60,12,3,43
24,95,115,466,1470,213,72,914,60,17,3,44
25,96,118,476,1487,230,74,947,60,21,3,44
26,97,121,498,1535,240,80,969,60,24,3,45
27,99,123,509,1556,252,80,1000,70,35,3,45
28,101,124,517,1578,267,80,1008,70,42,4,47
29,108,124,530,1597,280,82,1033,72,50,4,47
30,115,125,561,1625,291,90,1089,72,53,5,49
31,117,127,575,1640,293,91,1131,73,56,7,51
32,121,127,582,1664,294,93,1144,73,56,7,52
33,123,127,586,1694,302,95,1150,73,66,7,54
34,127,129,597,1710,303,96,1178,73,71,7,54
35,131,131,605,1723,305,96,1184,75,81,7,54
36,135,131,614,1735,311,96,1201,75,83,7,54
37,143,131,625,1751,316,96,1220,76,85,7,54
38,143,134,631,1776,317,100,1236,76,87,7,54
39,143,134,644,1830,325,105,1249,76,89,7,54
40,147,134,647,1844,330,107,1273,76,91,7,54
41,150,134,676,1858,332,107,1322,76,94,7,55
42,150,135,684,1861,332,107,1324,76,96,7,55
43,150,135,698,1891,332,108,1358,76,111,7,55
